symbol,n,min_diff,m_hours,subperiod,n_obs,n_eff,mean_fade,std_fade,t_stat_raw,t_stat_adj,mean_mae
BTC-USDT-SWAP,2,0.0075,16,all,26428,2156,-0.00011141462485606973,0.03537553409996755,-0.512001632617274,-0.14623912336310918,0.027939549049442264
BTC-USDT-SWAP,2,0.0075,24,0,7252,379,0.00011012349611985642,0.05130211148019418,0.18279892955803073,0.04178922870319037,0.03969532835661508
BTC-USDT-SWAP,2,0.0075,24,1,9654,401,-0.00015548508735573652,0.044531247331315645,-0.3430658817884107,-0.06991913845823611,0.03645821538261363
BTC-USDT-SWAP,2,0.0075,24,2,5645,379,6.853886994870946e-07,0.039113100453830166,0.0013165782292070564,0.00034114130087743125,0.029739058231279474
BTC-USDT-SWAP,2,0.0075,24,3,3876,359,-2.4683377218417666e-05,0.027394569198305012,-0.056096012252874326,-0.017072115071559268,0.023025410503919742
BTC-USDT-SWAP,2,0.0075,24,all,26427,1516,-3.0054156368905265e-05,0.043397355652915144,-0.11258102715993926,-0.026964407079599857,0.03394110596642412
BTC-USDT-SWAP,2,0.0075,36,0,7252,262,-3.9379257566364284e-05,0.060896854349014984,-0.05506828635711377,-0.010467026170896971,0.048120253321944875
BTC-USDT-SWAP,2,0.0075,36,1,9654,273,-8.643470021139839e-05,0.05098781076669363,-0.1665618024651558,-0.028009353725308297,0.04392205473467269
BTC-USDT-SWAP,2,0.0075,36,2,5645,258,-0.00010925167065341121,0.04523315755196308,-0.1814692961378762,-0.038795471514699705,0.035413301565188106
BTC-USDT-SWAP,2,0.0075,36,3,3874,249,-7.029107749194935e-05,0.03164419745448698,-0.13825661609486797,-0.03505143385635461,0.027613014127684046
BTC-USDT-SWAP,2,0.0075,36,all,26425,1040,-7.602846875135027e-05,0.05050882617467003,-0.244690138092254,-0.0485428910315279,0.040865562821775184
BTC-USDT-SWAP,2,0.0075,48,0,7252,201,-8.976400453900334e-06,0.07057254415470769,-0.010831668064217355,-0.0018032854295099167,0.055583705808388915
BTC-USDT-SWAP,2,0.0075,48,1,9654,206,-6.860765842816921e-05,0.057395125216476085,-0.11744951742522024,-0.017156598960017182,0.05049737246885054
BTC-USDT-SWAP,2,0.0075,48,2,5645,198,-0.00015053163013038328,0.05066984910550154,-0.22320819055742944,-0.04180331752194622,0.03996754577977699
BTC-USDT-SWAP,2,0.0075,48,3,3873,194,-0.00010818929461654887,0.035692006893613105,-0.18864142548407725,-0.04221960696537942,0.031084707268666304
BTC-USDT-SWAP,2,0.0075,48,all,26424,798,-7.554508706831436e-05,0.05749165409590158,-0.21359973151902997,-0.03711956411811808,0.04679846107762282
BTC-USDT-SWAP,2,0.01,1,0,4820,2894,-5.219723960676935e-05,0.01476314740472413,-0.24546642610524477,-0.1902032107240245,0.00939536453862436
BTC-USDT-SWAP,2,0.01,1,1,6060,3762,-0.0001597876181218837,0.01147035119409415,-1.084432987386779,-0.8544286521848417,0.008324163352180291
BTC-USDT-SWAP,2,0.01,1,2,3563,2408,-9.359343928080959e-05,0.010565400647442913,-0.5287706575151416,-0.43469803542151064,0.007341330333994479
BTC-USDT-SWAP,2,0.01,1,3,2324,1805,-3.5340768714700954e-05,0.0073424186651280775,-0.2320357537667971,-0.20449158945011264,0.0054097331180332575
BTC-USDT-SWAP,2,0.01,1,all,16767,10869,-9.754333102962562e-05,0.011890328632116457,-1.0622614143385154,-0.8552607046559491,0.008019291867162496
BTC-USDT-SWAP,2,0.01,2,0,4820,2087,-1.0964488860076101e-05,0.019714084000552683,-0.03861315666054225,-0.025408148115745967,0.013177020230450478
BTC-USDT-SWAP,2,0.01,2,1,6060,2679,-0.0001488878352737205,0.015422322621550612,-0.7515289999257673,-0.49968439697511463,0.011760401468521677
